//Firstly, the size (m,n) should be setup as strict positive integer
m: 4
n: 2
activities: a(2) b(2)
individuals: 1 2 3 4
1: a 0.36870678744706686
1: b 0.15086140445498664
1: 2 0.5757557571609832
1: 3 0.1949290978539402
1: 4 0.013641722238782905
2: a 0.24153948999017982
2: b 0.17970510735889778
2: 1 0.08969310566262856
2: 3 0.9653301214283031
2: 4 0.6973756613688217
3: a 0.011328385591556134
3: b 0.4404424298142573
3: 1 0.3457776971686496
3: 2 0.6016122889217824
3: 4 0.479562913043017
4: a 0.9457016578257352
4: b 0.1496446114498493
4: 1 0.0448716893902783
4: 2 0.034955703741573196
4: 3 0.8955785158896178
