n,m,U(M),MaxU,ParetoRate,IRRate
2,4,0.19732977171179525,0.2036633464201955,0.95,0.99
2,5,0.21223821835613804,0.22021482444125506,0.92,0.94
2,6,0.20186101999609107,0.21033315496687902,0.89,0.95
2,7,0.21847970718932594,0.22453522105483562,0.92,0.99
2,8,0.20633908165218895,0.21147041299756253,0.95,0.97
2,9,0.2087323096891107,0.21475291196016322,0.96,0.95
2,10,0.20240643362845606,0.20616434570562042,0.95,0.95
2,11,0.21313632408316432,0.217500378643827,0.94,0.98
2,12,0.20524095085200944,0.20849970445146337,0.99,0.98
2,13,0.21357483143909245,0.2179943717309082,0.98,0.93
