n,m,selectiveU,hedoU,miqpU,selectiveTime,preHedonicTime,postHedonic,hedonicTime,preMiqpTime,postMiqpTime,miqpTime
2,2,0.17267970211429604,-0.007022969510908563,0.18024940859380298,211767.93,373812.93,88823.44,967579.71,479394.73,363124.75,3.407118164E7
2,3,0.2184033404452011,0.041936396852886554,0.23006269055511738,96563.36,386982.28,43042.47,708076.29,361028.55,212873.89,3.57971173E7
2,4,0.21523144302278735,0.026396244811628014,0.224406663069732,81933.6,247604.51,27154.12,464652.22,311573.65,177565.85,3.552709629E7
2,5,0.20361372469166,0.03095239147201065,0.21594770177484704,92111.13,338413.38,26793.37,586776.71,296110.17,189748.69,3.578988282E7
2,6,0.20513013076574238,0.01770400225057821,0.2134463728832358,93848.28,436078.64,24803.36,713179.95,290890.22,168708.44,3.724661901E7
2,7,0.21123285919180904,0.016104281289108117,0.2169316142382149,115165.51,954753.71,22715.96,1283432.42,309181.39,157969.08,3.723716636E7
2,8,0.2021911926278311,0.017760478081838876,0.20824494892214254,123133.44,1533159.32,21837.91,1897860.64,311082.79,174648.83,3.727708194E7
2,9,0.197723222280941,0.004069316030651178,0.20340036842978132,146792.76,4340455.67,24539.83,4853108.52,319618.42,142206.75,3.718538239E7
2,10,0.21166340283806492,0.010181488235261622,0.2161880841127571,177674.22,7922440.9,26314.35,8637209.57,350617.82,136716.05,3.736995416E7
2,11,0.21629606883586872,0.0035441099327492864,0.22169414127845652,238792.19,2.711989353E7,28813.62,2.866142221E7,456719.08,151557.52,4.150017941E7
2,12,0.21209863382545074,0.0057159856868636335,0.21644695455049662,253592.98,4.358636283E7,19872.82,4.603658335E7,595511.97,134960.14,3.891818094E7
2,13,0.2083660973219922,0.007397236738937889,0.21139649133651883,333185.19,1.4498030892E8,35237.66,1.5305565345E8,565541.92,176866.38,4.42971056E7
