n,m,inclusiveE,hedoE,miqpE,inclusiveTime,preHedonicTime,postHedonic,hedonicTime,preMiqpTime,postMiqpTime,miqpTime
2,2,0.08548019114853914,-0.09442683342473497,0.09421060807818003,88244.3,250589.43,59587.67,681046.77,228477.04,215207.27,8772643.16
2,3,0.052211940376897054,-0.08738399666681586,0.037945935001246704,39081.26,314540.2,38136.35,570111.68,144931.45,128250.94,9865371.98
2,4,0.013460700897799058,-0.14071436954768224,0.014591357028853504,48157.27,201729.85,24131.25,389959.87,133200.13,108747.05,1.056810213E7
2,5,0.014035039829300695,-0.12209269599306774,0.005455655572233494,47224.66,291280.24,23322.42,513284.84,134910.31,116752.66,1.016016251E7
2,6,0.008749654827992157,-0.17623685451720766,-0.005167629765947454,49461.19,387795.36,21328.16,634019.59,130676.21,103464.04,1.15312458E7
2,7,0.005169542090129328,-0.1841765959315492,0.0011766583934411329,39837.45,869481.73,19113.64,1156259.09,121750.01,89116.16,1.0681483E7
2,8,0.0031055156948926067,-0.16691700130528905,-0.0026153113895605513,68814.88,1391135.39,17729.38,1727186.8,125812.05,78750.79,1.164597077E7
2,9,0.0011201807514560692,-0.20194443826655248,-0.0031415418287095587,45564.61,4045965.11,19410.33,4498820.77,136428.41,75109.93,1.240075569E7
2,10,0.00101418680312639,-0.20043223987893508,-0.003836696728284533,60234.0,7047296.87,17854.21,7627890.04,152513.5,72561.38,1.471610087E7
2,11,0.0014437116290381457,-0.24533663786091423,-0.004850307206562957,59010.74,2.125326937E7,18161.05,2.234388721E7,176785.66,70254.16,1.272200831E7
2,12,0.0,-0.2292328404162428,-0.004443282918021337,66892.69,3.720406811E7,14962.94,3.887034586E7,195443.29,68130.71,1.250834324E7
2,13,0.0,-0.23440584574330414,-0.005095367028104799,55840.23,1.0711624858E8,17307.62,1.1148597891E8,212511.33,67239.78,1.166269813E7
2,14,9.734116926596186E-4,-0.20070814285535973,-0.0062902383536471325,85450.12,1.9252224687E8,19314.05,1.9965441621E8,232318.57,67946.64,1.78983233E7
2,15,0.0,-0.24365493731155716,-0.00911288478163346,85583.19,5.469547181E8,25910.84,5.676112155E8,285331.87,74045.88,1.456743969E7
2,16,0.0,-0.1969896061429491,-0.006798866767203073,96547.11,9.9895497967E8,29448.5,1.04046582206E9,328784.52,77715.76,1.714469327E7
2,17,0.0,-0.2528719094552905,-0.0065034863747478935,110482.98,2.91897586702E9,31697.34,3.03500591567E9,353923.83,81309.55,2.357607751E7
2,18,0.0,-0.23244445774363975,-0.007197853243717447,126223.08,5.49832684297E9,33196.73,5.71354096948E9,382981.85,82700.77,2.701564876E7
2,19,0.0,-0.23036227793997316,-0.0072437431449919945,110713.67,1.523556953162E10,35580.32,1.581439853217E10,407171.33,85501.82,2.650570089E7
2,20,1.0039615743058554E-4,-0.24137538865844504,-0.005104205886634489,216435.41,2.852102958755E10,33907.87,2.957862680374E10,447928.42,83315.82,2.55564464E7
