n,m,behaviourU,otherU,behaviourTime,otherTime
2,4,0.018319844095808568,-0.10865325609377796,0.18,0.72
2,5,0.02236052970477624,-0.37622597033924654,0.08,0.48
2,6,0.00988998473491704,-0.13110721780544785,0.04,0.8
2,7,0.007274280914885311,-0.4103243731023421,0.1,0.56
2,8,9.03655825375983E-4,-0.18377794384199475,0.05,1.37
2,9,0.004420620284925547,-0.4329954644549337,0.07,1.27
2,10,0.0013842782201165527,-0.1919909102897439,0.14,3.26
2,11,0.0,-0.46193104718277367,0.03,2.24
2,12,0.0010463664967628884,-0.22408395822941496,0.05,7.15
2,13,0.001227368490538644,-0.44925989278146694,0.04,4.0
2,14,-3.057855495681336E-4,-0.24063002975053516,0.06,12.79
2,15,3.2764290862258625E-4,-0.46929878317618745,0.02,6.53
2,16,0.0,-0.2512143368702216,0.09,23.63
2,17,0.0,-0.4699186865917909,0.09,10.89
2,18,0.0,-0.2602245334813851,0.06,40.54
2,19,-2.47094627795223E-4,-0.4706648234616825,0.05,17.42
2,20,0.0,-0.26070259381815736,0.11,64.74
3,6,0.015417990261752015,-0.05832238647552813,0.03,0.69
3,7,0.022007928038740982,-0.42504418258380056,0.01,0.55
3,8,0.013459806121159606,-0.43193314525697374,0.03,1.01
3,9,0.0053395041670705945,-0.08811443928862475,0.05,2.43
3,10,0.010355749284422573,-0.44240866215591135,0.04,1.64
3,11,0.004188116263645939,-0.44131934931255506,0.04,3.54
3,12,0.0035997736522061408,-0.08458543460663984,0.06,9.57
3,13,0.003033109162506159,-0.46648709604074967,0.03,4.64
3,14,0.003081096158378519,-0.4469172100061872,0.05,9.5
3,15,0.004708118817348042,-0.10565639875899216,0.11,27.79
3,16,0.0019610942640613683,-0.48639399743629197,0.12,10.01
3,17,1.6898991467702241E-4,-0.4691776946823775,0.07,22.55
3,18,9.925534438698258E-4,-0.12884146208559655,0.18,66.83
3,19,2.2629401925936988E-4,-0.4815856992781819,0.15,21.8
3,20,0.0016514169794976518,-0.4734995820286756,0.12,40.71
3,21,0.0,-0.14744751843266116,0.2,129.79
3,22,4.3907590235015893E-4,-0.4856771468402983,0.21,37.17
3,23,6.339085916747167E-4,-0.47098617190576164,0.22,72.1
3,24,0.0,-0.151572774105571,0.24,254.09
3,25,0.0,-0.4862222049203963,0.21,65.7
3,26,0.0,-0.47780735309608496,0.27,112.62
3,27,0.0,-0.18220048093615707,0.34,449.93
3,28,0.0,-0.4950954467296561,0.29,96.48
3,29,0.0,-0.48529882232418353,0.38,183.33
3,30,0.0,-0.16661325796530377,0.41,743.72
4,8,0.009943753453258274,-0.016242514166144667,0.1,2.07
4,9,0.03942355434228408,-0.4400056101631721,0.06,1.31
4,10,0.01847237815106589,-0.443511990346308,0.07,2.08
4,11,0.0066206123181056275,-0.43365602884066407,0.03,3.81
