n,m,behaviourU,otherU,behaviourTime,otherTime
2,4,0.18959620146515654,0.1316005376489316,0.22,0.7
2,5,0.22576510250192602,-0.03786509435483501,0.18,0.55
2,6,0.20834984493977105,0.1612528546347317,0.09,0.78
2,7,0.21093139697035615,-0.011207609373951606,0.08,0.69
2,8,0.19931396816355457,0.14882099721058192,0.11,1.61
2,9,0.211770125666557,-0.01100197459704656,0.09,1.43
2,10,0.20466304437734376,0.155956350742745,0.12,4.89
2,11,0.2237237231621512,0.003309688351203989,0.18,2.61
2,12,0.21132896979698018,0.16657257040512577,0.21,7.65
2,13,0.2018476376170587,-0.020099964987904263,0.27,4.28
2,14,0.20301101611915395,0.15375042029380012,0.21,14.73
2,15,0.21369607109131117,-0.004798322216564365,0.29,7.65
2,16,0.20916827788832243,0.16315773164724803,0.3,25.69
2,17,0.20319923820890215,-0.02676000644212818,0.48,12.78
2,18,0.21190512830815744,0.16707216160376678,0.49,43.2
2,19,0.20980050448995585,-0.010902565693019567,0.59,19.8
2,20,0.21407151625431442,0.17164219294863275,0.72,69.83
3,6,0.2522955240899,0.22765709918202248,0.07,1.05
3,7,0.2658569249601865,-0.0736019632449311,0.1,0.58
3,8,0.25227400179976944,-0.024570530668388716,0.09,1.07
3,9,0.2530162623132651,0.2310767112723221,0.06,2.8
3,10,0.2578759102188803,-0.05824928719543693,0.1,1.75
3,11,0.26105375697028455,-0.011385417797029809,0.13,3.87
3,12,0.2507050842308503,0.22809407857483446,0.11,9.47
3,13,0.2692518255459111,-0.0479541890618436,0.2,5.41
3,14,0.2634429641713201,-0.01788221998097344,0.22,10.5
3,15,0.26048648785980766,0.24059548999175973,0.26,28.72
3,16,0.2633192688121643,-0.05481699500851385,0.31,12.89
3,17,0.26287552829584476,-0.024585841595158645,0.32,25.66
3,18,0.2579334318207463,0.23582378632069248,0.4,66.2
3,19,0.26698376698757736,-0.039196294954076574,0.55,26.34
3,20,0.25876722028716204,-0.013114274870921093,0.58,47.11
3,21,0.2590344254582521,0.24087529987401043,0.6,121.4
3,22,0.2548094067063771,-0.06292121826792264,0.74,45.34
3,23,0.25951023774618937,-0.02202313401759174,0.79,86.11
3,24,0.2570188620963204,0.23437939163298738,0.94,237.17
3,25,0.265833043604934,-0.04190789484701028,1.11,74.89
3,26,0.2614350305180439,-0.013801695302798359,1.31,153.47
3,27,0.2659175374567299,0.24976952394532667,1.48,399.69
3,28,0.2600354318148033,-0.05060894238161897,1.35,126.84
3,29,0.25885839745807354,-0.015883165587248737,1.67,251.04
3,30,0.2627516085396071,0.2440733411052377,1.87,659.02
4,8,0.2708883994388862,0.2532782895659383,0.07,1.9
4,9,0.3083966001455152,-0.06315551687360138,0.08,1.44
4,10,0.3024827645465764,-0.06349454592019056,0.07,2.81
4,11,0.29198116695813664,-0.033092717836144286,0.12,4.75
4,12,0.2818498328369486,0.2715218071448096,0.15,10.66
4,13,0.3009775092284773,-0.05525256501816961,0.16,5.64
4,14,0.295695180676812,-0.053324096438763416,0.17,9.26
4,15,0.29936065356598907,-0.016164897789733314,0.21,14.93
4,16,0.28725730647906,0.2808316365364317,0.22,37.65
4,17,0.29612394729742336,-0.06108279323279757,0.22,16.01
4,18,0.2989949548402049,-0.05425060662089143,0.35,25.0
4,19,0.29293499598756856,-0.01432931120737069,0.31,50.36
4,20,0.30093960454857865,0.29592590438521965,0.41,115.47
4,21,0.29601673074875423,-0.05240422472606461,0.49,38.02
4,22,0.29703377461817243,-0.05331502695220534,0.61,64.07
4,23,0.2934148140779704,-0.018887852050786313,0.65,110.79
4,24,0.293140757267169,0.2883551894649723,0.73,266.44
4,25,0.3009931030416431,-0.059371839522879194,0.81,74.71
4,26,0.2937348520386784,-0.05649199940335972,0.86,116.17
4,27,0.2992455012574653,-0.014980427512692409,1.05,222.05
